"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Title","1.0","Title-{MB_72984+WDC_18717+WDC_38111}","MB_72984+WDC_18717+WDC_38111","{Relieve|Relieve|Relieve}","Relieve",,
"Title","1.0","Title-{MB_8057+WDC_12502+WDC_42754}","MB_8057+WDC_12502+WDC_42754","{Live|Live|Live}","Live",,
"Title","1.0","Title-{MB_2866+spy_7310}","MB_2866+spy_7310","{Candy|Candy}","Candy",,
"Title","0.0","Title-{MB_29435+WDC_36042}","MB_29435+WDC_36042","{The Future of War (Remastered)|The Future of War}","The Future of War (Remastered)",,
"Title","1.0","Title-{MB_35949+spy_17025}","MB_35949+spy_17025","{No lo intenten en casa|No Lo Intenten En Casa}","No Lo Intenten En Casa",,
"Title","1.0","Title-{MB_80398+spy_1487}","MB_80398+spy_1487","{Tortuga 2016|Tortuga 2016}","Tortuga 2016",,
"Title","1.0","Title-{MB_29895+spy_15907}","MB_29895+spy_15907","{Selalu Ada|Selalu Ada}","Selalu Ada",,
"Title","1.0","Title-{MB_5393+WDC_6552}","MB_5393+WDC_6552","{Larrys Garage EP|Larrys Garage EP}","Larrys Garage EP",,
"Title","1.0","Title-{MB_18801+spy_1641}","MB_18801+spy_1641","{Fra diskolys til midnattssol|Fra diskolys til midnattssol}","Fra diskolys til midnattssol",,
"Title","1.0","Title-{MB_1646+WDC_14862+WDC_19284+WDC_4344}","MB_1646+WDC_14862+WDC_19284+WDC_4344","{Marquee Moon|Marquee Moon|Marquee Moon|Marquee Moon}","Marquee Moon",,
"Title","1.0","Title-{MB_37256+WDC_35651}","MB_37256+WDC_35651","{Dangerous Night (Cheat Codes remix)|Dangerous Night (Cheat Codes Remix)}","Dangerous Night (Cheat Codes Remix)",,
"Title","1.0","Title-{MB_76467+spy_431}","MB_76467+spy_431","{Sun sinking at dusk|Sun sinking at dusk}","Sun sinking at dusk",,
"Title","1.0","Title-{MB_21673+spy_3019}","MB_21673+spy_3019","{Ciro y los Persas en el Estadio de River|Ciro Y los Persas En el Estadio de River}","Ciro y los Persas en el Estadio de River",,
"Title","1.0","Title-{MB_73779+MB_73781+spy_8705}","MB_73779+MB_73781+spy_8705","{ROLEX FÜR ALLE|ROLEX FÜR ALLE|ROLEX FÜR ALLE}","ROLEX FÜR ALLE",,
"Title","1.0","Title-{MB_29853+WDC_35053}","MB_29853+WDC_35053","{Born to Win|Born to Win}","Born to Win",,
"Title","1.0","Title-{MB_25121+WDC_25761}","MB_25121+WDC_25761","{Never Let Me Go|Never Let Me Go}","Never Let Me Go",,
"Title","0.75","Title-{MB_3049+MB_3050+MB_3055+spy_11616}","MB_3049+MB_3050+MB_3055+spy_11616","{Last Year Was Weird, Vol. 2|Last Year Was Weird (Vol. 1)|Last Year Was Weird, Vol. 2|Last Year Was Weird, Vol. 2}","Last Year Was Weird (Vol. 1)",,
"Title","1.0","Title-{MB_9321+MB_9322+spy_1895}","MB_9321+MB_9322+spy_1895","{A Love Letter to You 4|A Love Letter to You 4|A Love Letter To You 4}","A Love Letter to You 4",,
"Title","1.0","Title-{MB_73278+spy_8247}","MB_73278+spy_8247","{Caliente|Caliente}","Caliente",,
"Title","1.0","Title-{MB_26818+WDC_12144}","MB_26818+WDC_12144","{My|My}","My",,
"Title","1.0","Title-{MB_52775+WDC_29504}","MB_52775+WDC_29504","{Reloaded|Reloaded}","Reloaded",,
"Title","1.0","Title-{MB_80043+WDC_18866}","MB_80043+WDC_18866","{After 7|After 7}","After 7",,
"Title","1.0","Title-{MB_41242+WDC_33356}","MB_41242+WDC_33356","{Coltrane for Lovers|Coltrane For Lovers}","Coltrane for Lovers",,
"Title","1.0","Title-{MB_73018+WDC_9932}","MB_73018+WDC_9932","{Realize|Realize}","Realize",,
"Title","0.0","Title-{MB_71513+WDC_43906}","MB_71513+WDC_43906","{Als je slaapt|Als je slaapt (nwe versie)}","Als je slaapt (nwe versie)",,
"Title","1.0","Title-{MB_11891+WDC_36192}","MB_11891+WDC_36192","{Unholy Five|Unholy Five}","Unholy Five",,
"Title","1.0","Title-{MB_20434+spy_8399}","MB_20434+spy_8399","{Sindrome di Tôret|Sindrome di Tôret}","Sindrome di Tôret",,
"Title","0.0","Title-{MB_10893+WDC_16424}","MB_10893+WDC_16424","{Bentleys Gonna Sort You Out! / Run on the Spot|Bentley's Gonna Sort You Out / Run On The Spot [playlist 1] (playlist 1)}","Bentley's Gonna Sort You Out / Run On The Spot [playlist 1] (playlist 1)",,
"Title","1.0","Title-{MB_16271+WDC_38364}","MB_16271+WDC_38364","{Shout|Shout}","Shout",,
"Title","0.0","Title-{MB_49406+WDC_37205}","MB_49406+WDC_37205","{English String Music|English String Music: Various}","English String Music: Various",,
"Title","0.0","Title-{MB_35393+WDC_29379}","MB_35393+WDC_29379","{A Cruel World|A Cruel World (PA Version [Explicit])}","A Cruel World (PA Version [Explicit])",,
"Title","1.0","Title-{MB_59275+WDC_27643}","MB_59275+WDC_27643","{The Lift EP|The Lift EP}","The Lift EP",,
"Title","1.0","Title-{MB_66662+WDC_20196+WDC_25548}","MB_66662+WDC_20196+WDC_25548","{Worrisome Heart|Worrisome Heart|Worrisome Heart}","Worrisome Heart",,
"Title","1.0","Title-{MB_73796+WDC_13053}","MB_73796+WDC_13053","{The Vibe|The Vibe}","The Vibe",,
"Title","1.0","Title-{MB_12489+spy_9130}","MB_12489+spy_9130","{Casa 67|Casa 67}","Casa 67",,
"Title","1.0","Title-{MB_37637+MB_37639+spy_13155}","MB_37637+MB_37639+spy_13155","{Wild Stare|Wild Stare|Wild Stare}","Wild Stare",,
"Title","1.0","Title-{MB_14377+spy_15317}","MB_14377+spy_15317","{Ex|Ex}","Ex",,
"Title","1.0","Title-{MB_38007+WDC_22012}","MB_38007+WDC_22012","{20 Golden Greats|20 Golden Greats}","20 Golden Greats",,
"Title","0.6","Title-{MB_43934+MB_43935+MB_43936+MB_43937+spy_12059}","MB_43934+MB_43935+MB_43936+MB_43937+spy_12059","{In hajs we trust|In hajs we trust 2|In hajs we trust|In hajs we trust 2|In hajs we trust 2}","In hajs we trust 2",,
"Title","1.0","Title-{MB_38248+spy_17518}","MB_38248+spy_17518","{Connie Francis Sings Screen Hits|Connie Francis Sings Screen Hits}","Connie Francis Sings Screen Hits",,
"Title","1.0","Title-{MB_75561+WDC_11120+WDC_17916+WDC_1856+WDC_33399}","MB_75561+WDC_11120+WDC_17916+WDC_1856+WDC_33399","{A Little Love|A Little Love|A Little Love|A Little Love|A Little Love}","A Little Love",,
"Title","0.0","Title-{MB_1706+spy_1088}","MB_1706+spy_1088","{Luan City: Avenida Amarildo Santana|LUAN CITY AVENIDA AMARILDO SANTANA (Ao Vivo)}","LUAN CITY AVENIDA AMARILDO SANTANA (Ao Vivo)",,
"Title","1.0","Title-{MB_50681+WDC_18693}","MB_50681+WDC_18693","{I Know a Ghost|I Know A Ghost}","I Know a Ghost",,
"Title","0.0","Title-{MB_43574+spy_19338}","MB_43574+spy_19338","{Esse É o Clima|Esse É o Clima (Ao Vivo)}","Esse É o Clima (Ao Vivo)",,
"Title","1.0","Title-{MB_66066+WDC_14457}","MB_66066+WDC_14457","{Forms of Paper|Forms of Paper}","Forms of Paper",,
"Title","1.0","Title-{MB_31683+WDC_14583+WDC_17305+WDC_9498}","MB_31683+WDC_14583+WDC_17305+WDC_9498","{Can’t Get Enough|Can't Get Enough|Can't Get Enough|Can't Get Enough}","Can't Get Enough",,
"Title","1.0","Title-{MB_77092+spy_17719}","MB_77092+spy_17719","{Ensayo y error|Ensayo y error}","Ensayo y error",,
"Title","1.0","Title-{MB_69284+WDC_20683+WDC_36125}","MB_69284+WDC_20683+WDC_36125","{Songs From the Big Chair|Songs From The Big Chair|Songs From The Big Chair}","Songs From the Big Chair",,
"Title","1.0","Title-{MB_24432+spy_4602}","MB_24432+spy_4602","{Tical 2000: Judgement Day|Tical 2000: Judgement Day}","Tical 2000: Judgement Day",,
"Title","1.0","Title-{MB_4019+spy_1550}","MB_4019+spy_1550","{Pedropiedra|Pedropiedra}","Pedropiedra",,
"Title","1.0","Title-{MB_24856+MB_24861+MB_24863+WDC_16663+WDC_20114+spy_14769}","MB_24856+MB_24861+MB_24863+WDC_16663+WDC_20114+spy_14769","{Christopher Cross|Christopher Cross|Christopher Cross|Christopher Cross|Christopher Cross|Christopher Cross}","Christopher Cross",,
"Title","1.0","Title-{WDC_1478+WDC_5608+spy_8382}","WDC_1478+WDC_5608+spy_8382","{Konk|Konk|Konk}","Konk",,
"Title","1.0","Title-{MB_8780+spy_5356}","MB_8780+spy_5356","{Honey|Honey}","Honey",,
"Title","1.0","Title-{MB_41634+spy_11873}","MB_41634+spy_11873","{Danser|Danser}","Danser",,
"Title","1.0","Title-{MB_42536+WDC_3661}","MB_42536+WDC_3661","{Sólo muerdo por ti|Sólo Muerdo Por Ti}","Sólo Muerdo Por Ti",,
"Title","1.0","Title-{MB_44632+spy_3753}","MB_44632+spy_3753","{Amore che torni|Amore Che Torni}","Amore Che Torni",,
"Title","1.0","Title-{MB_55507+spy_15249}","MB_55507+spy_15249","{Trap Sauce : The Album|Trap Sauce : The Album}","Trap Sauce : The Album",,
"Title","1.0","Title-{MB_40754+WDC_16144+WDC_17308+WDC_24002+WDC_28078+WDC_36669+WDC_588}","MB_40754+WDC_16144+WDC_17308+WDC_24002+WDC_28078+WDC_36669+WDC_588","{Sally Cinnamon|Sally Cinnamon|Sally Cinnamon|Sally Cinnamon|Sally Cinnamon|Sally Cinnamon|Sally Cinnamon}","Sally Cinnamon",,
"Title","1.0","Title-{MB_7115+WDC_20919}","MB_7115+WDC_20919","{Selling England by the Pound|Selling England By The Pound}","Selling England By The Pound",,
"Title","1.0","Title-{WDC_26261+spy_9315}","WDC_26261+spy_9315","{Interpreting The Masters Volume 1: A Tribute To Daryl Hall And John Oates|Interpreting The Masters Volume 1: A Tribute To Daryl Hall And John Oates}","Interpreting The Masters Volume 1: A Tribute To Daryl Hall And John Oates",,
"Title","1.0","Title-{MB_781+WDC_1088+WDC_6935+WDC_7554+WDC_7587}","MB_781+WDC_1088+WDC_6935+WDC_7554+WDC_7587","{Rambler|Rambler|Rambler|Rambler|Rambler}","Rambler",,
"Title","1.0","Title-{MB_79411+WDC_18155}","MB_79411+WDC_18155","{Phrenology|Phrenology}","Phrenology",,
"Title","1.0","Title-{MB_26170+WDC_1298+WDC_18372}","MB_26170+WDC_1298+WDC_18372","{Merrie Land|Merrie Land|Merrie Land}","Merrie Land",,
"Title","1.0","Title-{MB_41053+WDC_14443}","MB_41053+WDC_14443","{The Quartet|The Quartet}","The Quartet",,
"Title","0.0","Title-{MB_71989+WDC_30257}","MB_71989+WDC_30257","{Dan + Shay|Dan + Shay (Acoustic)}","Dan + Shay (Acoustic)",,
"Title","1.0","Title-{MB_54900+WDC_28339}","MB_54900+WDC_28339","{Dance With Death|Dance With Death}","Dance With Death",,
"Title","1.0","Title-{MB_4372+WDC_28030}","MB_4372+WDC_28030","{Modern Times|Modern Times}","Modern Times",,
"Title","1.0","Title-{MB_15208+MB_15213+spy_14840}","MB_15208+MB_15213+spy_14840","{don dada mixtape vol 1|don dada mixtape vol 1|don dada mixtape vol 1}","don dada mixtape vol 1",,
"Title","1.0","Title-{MB_73879+spy_5794}","MB_73879+spy_5794","{Playing With Fire|Playing With Fire}","Playing With Fire",,
"Title","1.0","Title-{MB_42474+WDC_25627+WDC_30422}","MB_42474+WDC_25627+WDC_30422","{Gentleman|Gentleman|Gentleman}","Gentleman",,
"Title","1.0","Title-{MB_59385+WDC_37978}","MB_59385+WDC_37978","{Lifeline|Lifeline}","Lifeline",,
"Title","1.0","Title-{MB_15654+WDC_17756}","MB_15654+WDC_17756","{CSN|CSN}","CSN",,
"Title","1.0","Title-{MB_35534+spy_10240}","MB_35534+spy_10240","{COLOURS|COLOURS}","COLOURS",,
"Title","1.0","Title-{MB_41679+WDC_3660}","MB_41679+WDC_3660","{Das kleine Haus am Meer|Das kleine Haus am Meer}","Das kleine Haus am Meer",,
"Title","1.0","Title-{MB_32089+spy_5693}","MB_32089+spy_5693","{From Under the Cork Tree|From Under The Cork Tree}","From Under the Cork Tree",,
"Title","1.0","Title-{MB_19410+WDC_22760}","MB_19410+WDC_22760","{Mafalda Arnauth|Mafalda Arnauth}","Mafalda Arnauth",,
"Title","1.0","Title-{MB_66273+WDC_44667}","MB_66273+WDC_44667","{Tailor Made|Tailor Made}","Tailor Made",,
"Title","1.0","Title-{MB_8378+spy_7665}","MB_8378+spy_7665","{Ain't No Mountain High Enough|Ain't No Mountain High Enough}","Ain't No Mountain High Enough",,
"Title","1.0","Title-{MB_22274+WDC_2412}","MB_22274+WDC_2412","{Gods of the Abyss|Gods of the Abyss}","Gods of the Abyss",,
"Title","1.0","Title-{MB_19670+WDC_38889}","MB_19670+WDC_38889","{Christmas Time Is Here|Christmas Time Is Here}","Christmas Time Is Here",,
"Title","1.0","Title-{MB_15754+spy_8634}","MB_15754+spy_8634","{Continuum|Continuum}","Continuum",,
"Title","1.0","Title-{MB_25304+spy_11367}","MB_25304+spy_11367","{The 1975|The 1975}","The 1975",,
"Title","0.0","Title-{MB_56533+WDC_26724}","MB_56533+WDC_26724","{Cult of Static|Cult Of Static (Explicit)}","Cult Of Static (Explicit)",,
"Title","1.0","Title-{MB_30012+WDC_38922}","MB_30012+WDC_38922","{Lola’s Theme Recut|Lola's Theme Recut}","Lola's Theme Recut",,
"Title","1.0","Title-{MB_51550+spy_8034}","MB_51550+spy_8034","{Un hombre normal|Un Hombre Normal}","Un Hombre Normal",,
"Title","1.0","Title-{WDC_15657+WDC_27862+spy_8413}","WDC_15657+WDC_27862+spy_8413","{Latina|Latina|Latina}","Latina",,
"Title","1.0","Title-{MB_80001+spy_19229}","MB_80001+spy_19229","{Agricolankatu 11|Agricolankatu 11}","Agricolankatu 11",,
"Title","1.0","Title-{MB_17601+WDC_20497+WDC_44632}","MB_17601+WDC_20497+WDC_44632","{One Kill Wonder|One Kill Wonder|One Kill Wonder}","One Kill Wonder",,
"Title","1.0","Title-{MB_27761+WDC_20518}","MB_27761+WDC_20518","{Run Home Slow|Run Home Slow}","Run Home Slow",,
"Title","1.0","Title-{MB_14342+WDC_16494}","MB_14342+WDC_16494","{Turn Back the Clock|Turn Back The Clock}","Turn Back the Clock",,
"Title","1.0","Title-{MB_53393+WDC_44597}","MB_53393+WDC_44597","{Testify for My Victims|Testify For My Victims}","Testify for My Victims",,
"Title","1.0","Title-{MB_58968+WDC_32570}","MB_58968+WDC_32570","{Conversations|Conversations}","Conversations",,
"Title","1.0","Title-{MB_76374+WDC_44179}","MB_76374+WDC_44179","{Easter|Easter}","Easter",,
"Title","1.0","Title-{MB_29498+spy_8486}","MB_29498+spy_8486","{Timeless|Timeless}","Timeless",,
"Title","1.0","Title-{MB_38062+WDC_43759}","MB_38062+WDC_43759","{Party Without Ya|Party Without Ya}","Party Without Ya",,
"Title","1.0","Title-{MB_77360+WDC_39484}","MB_77360+WDC_39484","{Silhouettes|Silhouettes}","Silhouettes",,
"Title","1.0","Title-{MB_52394+WDC_17822+WDC_27662}","MB_52394+WDC_17822+WDC_27662","{Woodsmoke and Oranges|Woodsmoke And Oranges|Woodsmoke And Oranges}","Woodsmoke And Oranges",,
"Title","1.0","Title-{MB_708+spy_13173}","MB_708+spy_13173","{Lizard Days|Lizard Days}","Lizard Days",,
"Title","1.0","Title-{MB_44284+WDC_719}","MB_44284+WDC_719","{Hot To The Touch|Hot To The Touch}","Hot To The Touch",,
"Title","0.0","Title-{MB_78744+WDC_36265}","MB_78744+WDC_36265","{Portrait: The Music of Dan Fogelberg|Portrait: The Music Of Dan Fogelberg From 1972-1997}","Portrait: The Music Of Dan Fogelberg From 1972-1997",,
"Title","1.0","Title-{MB_32098+spy_5696}","MB_32098+spy_5696","{Infinity on High|Infinity On High}","Infinity on High",,
"Title","1.0","Title-{MB_55715+MB_55716+spy_10547}","MB_55715+MB_55716+spy_10547","{My Love|My Love|My Love}","My Love",,
"Title","1.0","Title-{MB_16834+WDC_37586}","MB_16834+WDC_37586","{Two Suns Worth|Two Suns Worth}","Two Suns Worth",,
"Title","1.0","Title-{MB_42521+spy_7766}","MB_42521+spy_7766","{Yours|Yours}","Yours",,
"Title","1.0","Title-{MB_21516+WDC_35058}","MB_21516+WDC_35058","{The Master|The Master}","The Master",,
"Title","1.0","Title-{MB_51144+spy_7462}","MB_51144+spy_7462","{Staying at Tamara’s|Staying at Tamara's}","Staying at Tamara's",,
"Title","1.0","Title-{MB_62963+spy_6825}","MB_62963+spy_6825","{Metamorfoz|Metamorfoz}","Metamorfoz",,
"Title","1.0","Title-{MB_27481+WDC_35280}","MB_27481+WDC_35280","{Bunkerpop|Bunkerpop}","Bunkerpop",,
"Title","1.0","Title-{MB_11888+WDC_24455}","MB_11888+WDC_24455","{Hell in Stereo|Hell in Stereo}","Hell in Stereo",,
"Title","1.0","Title-{MB_46580+MB_46588+spy_10093}","MB_46580+MB_46588+spy_10093","{Capacities|Capacities|Capacities}","Capacities",,
"Title","1.0","Title-{MB_35519+WDC_37043}","MB_35519+WDC_37043","{Habemus Capa|Habemus Capa}","Habemus Capa",,
"Title","0.6666666666666666","Title-{MB_15486+MB_15487+spy_11697}","MB_15486+MB_15487+spy_11697","{Centre of My Universe|Center of My Universe|Center Of My Universe}","Center of My Universe",,
"Title","1.0","Title-{MB_36552+WDC_26395+WDC_28791}","MB_36552+WDC_26395+WDC_28791","{Protest|Protest|Protest}","Protest",,
"Title","1.0","Title-{MB_75404+WDC_16371}","MB_75404+WDC_16371","{R'lyeh|R'lyeh}","R'lyeh",,
"Title","1.0","Title-{MB_43154+WDC_1588+WDC_28344}","MB_43154+WDC_1588+WDC_28344","{it.pop|it.pop|it.pop}","it.pop",,
"Title","1.0","Title-{MB_73522+spy_16700}","MB_73522+spy_16700","{God Gave Me A Song|God Gave Me A Song}","God Gave Me A Song",,
"Title","1.0","Title-{MB_3714+WDC_35606+WDC_42992}","MB_3714+WDC_35606+WDC_42992","{Uneven Days|Uneven Days|Uneven Days}","Uneven Days",,
"Title","0.0","Title-{WDC_21565+spy_2522}","WDC_21565+spy_2522","{Wow... That's Crazy (Explicit)|Wow... That's Crazy}","Wow... That's Crazy (Explicit)",,
"Title","1.0","Title-{MB_47884+WDC_39110}","MB_47884+WDC_39110","{The Collection EP|The Collection EP}","The Collection EP",,
"Title","1.0","Title-{MB_68169+WDC_31565}","MB_68169+WDC_31565","{Here Comes the a Train|Here Comes The A Train}","Here Comes The A Train",,
"Title","0.0","Title-{MB_51440+spy_6838}","MB_51440+spy_6838","{Right Where You Want Me (CD+AVCD special edition)|Right Where You Want Me}","Right Where You Want Me (CD+AVCD special edition)",,
"Title","0.6666666666666666","Title-{MB_30479+WDC_12170+WDC_20071}","MB_30479+WDC_12170+WDC_20071","{Born on the Bayou|Born On The Bayou (Live)|Born On The Bayou (Live)}","Born On The Bayou (Live)",,
"Title","1.0","Title-{MB_46068+spy_18377}","MB_46068+spy_18377","{Soundings In Film|Soundings In Film}","Soundings In Film",,
"Title","0.0","Title-{MB_52732+spy_8718}","MB_52732+spy_8718","{Jazz Impressions of Black Orpheus|Jazz Impressions Of Black Orpheus [Original Jazz Classics Remasters] (OJC Remaster)}","Jazz Impressions Of Black Orpheus [Original Jazz Classics Remasters] (OJC Remaster)",,
"Title","0.0","Title-{MB_17304+spy_10944}","MB_17304+spy_10944","{Checks and Balances|Checks and Balances (from the Netflix Series ""We The People"")}","Checks and Balances (from the Netflix Series ""We The People"")",,
"Title","1.0","Title-{MB_29700+WDC_16608+WDC_18195+WDC_22159+WDC_6439+WDC_7301}","MB_29700+WDC_16608+WDC_18195+WDC_22159+WDC_6439+WDC_7301","{Cheetah EP|Cheetah EP|Cheetah EP|Cheetah EP|Cheetah EP|Cheetah EP}","Cheetah EP",,
"Title","1.0","Title-{MB_63415+WDC_29267}","MB_63415+WDC_29267","{Drums, Sex and Dance|Drums, Sex and Dance}","Drums, Sex and Dance",,
"Title","1.0","Title-{MB_19090+WDC_8485}","MB_19090+WDC_8485","{Intercity|Intercity}","Intercity",,
"Title","1.0","Title-{MB_42968+WDC_44602}","MB_42968+WDC_44602","{The Answer to the Question|The Answer To The Question}","The Answer to the Question",,
"Title","1.0","Title-{MB_78682+spy_18107}","MB_78682+spy_18107","{stages|stages}","stages",,
"Title","1.0","Title-{MB_33176+MB_33183+MB_33184+spy_5679}","MB_33176+MB_33183+MB_33184+spy_5679","{Certified Hitmaker|Certified Hitmaker|Certified Hitmaker|Certified Hitmaker}","Certified Hitmaker",,
"Title","1.0","Title-{MB_26043+WDC_15410+WDC_4771}","MB_26043+WDC_15410+WDC_4771","{Mantra|Mantra|Mantra}","Mantra",,
"Title","1.0","Title-{MB_65392+spy_4724}","MB_65392+spy_4724","{Appartement 105|Appartement 105}","Appartement 105",,
"Title","1.0","Title-{MB_71695+WDC_27892}","MB_71695+WDC_27892","{Crimson|Crimson}","Crimson",,
"Title","0.5","Title-{MB_73313+WDC_34712+WDC_38974+WDC_42489}","MB_73313+WDC_34712+WDC_38974+WDC_42489","{Days Go By|Days Go By|Days Go By (Remixes)|Days Go By (Sammy Porter Re Edit)}","Days Go By (Sammy Porter Re Edit)",,
"Title","0.0","Title-{MB_2526+WDC_41542}","MB_2526+WDC_41542","{Symphonica in Rosso|Symphonica in Rosso (Live at Ziggo Dome, Amsterdam)}","Symphonica in Rosso (Live at Ziggo Dome, Amsterdam)",,
"Title","0.0","Title-{MB_48610+WDC_23377}","MB_48610+WDC_23377","{Blau (Da Ba Dee)|Blau (Da Ba Dee) [Fosco Remix]}","Blau (Da Ba Dee) [Fosco Remix]",,
"Title","1.0","Title-{MB_74694+spy_16534}","MB_74694+spy_16534","{Nonsense and Mexican Shit|Nonsense and Mexican Shit}","Nonsense and Mexican Shit",,
"Title","1.0","Title-{MB_23433+spy_19505}","MB_23433+spy_19505","{Sjaak In The House|Sjaak In The House}","Sjaak In The House",,
"Title","1.0","Title-{MB_41599+WDC_44759}","MB_41599+WDC_44759","{Red Sun Rising|Red Sun Rising}","Red Sun Rising",,
"Title","1.0","Title-{MB_51510+WDC_21502}","MB_51510+WDC_21502","{The Album|The Album}","The Album",,
"Title","1.0","Title-{MB_14135+WDC_10048}","MB_14135+WDC_10048","{Marabel|Marabel}","Marabel",,
"Title","1.0","Title-{MB_40724+WDC_8541}","MB_40724+WDC_8541","{Future|Future}","Future",,
"Title","1.0","Title-{MB_33945+spy_11346}","MB_33945+spy_11346","{Peso Pluma: Bzrp Music Sessions, Vol. 55|Peso Pluma: Bzrp Music Sessions, Vol. 55}","Peso Pluma: Bzrp Music Sessions, Vol. 55",,
"Title","0.6666666666666666","Title-{MB_72645+MB_72647+spy_17154}","MB_72645+MB_72647+spy_17154","{Don’t Play That Song|Don't Play That Song (You Lied)|Don't Play That Song}","Don't Play That Song (You Lied)",,
"Title","1.0","Title-{MB_42799+spy_10115}","MB_42799+spy_10115","{Pułapka Na Motyle (Deluxe Edition)|Pułapka Na Motyle (Deluxe Edition)}","Pułapka Na Motyle (Deluxe Edition)",,
"Title","1.0","Title-{MB_23840+spy_16839}","MB_23840+spy_16839","{Kid$ Gotta Eat|Kid$ Gotta Eat}","Kid$ Gotta Eat",,
"Title","1.0","Title-{MB_25951+WDC_31639}","MB_25951+WDC_31639","{Wipe Out|Wipe Out}","Wipe Out",,
"Title","0.6666666666666666","Title-{MB_13948+WDC_16878+WDC_41691}","MB_13948+WDC_16878+WDC_41691","{Write It Down (Fred V Remix)|Write It Down (Fred V Remix)|Write It Down}","Write It Down (Fred V Remix)",,
"Title","1.0","Title-{MB_71888+WDC_5883}","MB_71888+WDC_5883","{Dry as a Bone / Rehab Doll|Dry As A Bone/Rehab Doll}","Dry as a Bone / Rehab Doll",,
"Title","1.0","Title-{MB_18779+spy_2515}","MB_18779+spy_2515","{Drinking With My Smoking Friends|Drinking With My Smoking Friends}","Drinking With My Smoking Friends",,
"Title","1.0","Title-{MB_27885+WDC_15661+WDC_969}","MB_27885+WDC_15661+WDC_969","{1&1|1&1|1&1}","1&1",,
"Title","1.0","Title-{MB_4017+spy_1545}","MB_4017+spy_1545","{Cripta y vida|Cripta y Vida}","Cripta y Vida",,
"Title","1.0","Title-{MB_20511+MB_20512+spy_2283}","MB_20511+MB_20512+spy_2283","{Mama’s Boy|Mama’s Boy|Mama's Boy}","Mama's Boy",,
"Title","1.0","Title-{MB_40556+WDC_29015}","MB_40556+WDC_29015","{K2|K2}","K2",,
"Title","1.0","Title-{MB_28770+WDC_20394}","MB_28770+WDC_20394","{The Lower Side of Uptown|The Lower Side of Uptown}","The Lower Side of Uptown",,
"Title","0.6666666666666666","Title-{MB_50349+WDC_28845+spy_19212}","MB_50349+WDC_28845+spy_19212","{Twistin' the Rock, Volume 9|Twistin’ The Rock, Vol. 9|Twistin’ The Rock, Vol. 9}","Twistin' the Rock, Volume 9",,
"Title","1.0","Title-{MB_52265+spy_7795}","MB_52265+spy_7795","{Päivästtoiseen|Päivästtoiseen}","Päivästtoiseen",,
"Title","1.0","Title-{MB_47910+WDC_34933}","MB_47910+WDC_34933","{Tomorrow’s Daughter|Tomorrow's Daughter}","Tomorrow’s Daughter",,
"Title","1.0","Title-{MB_80230+spy_17945}","MB_80230+spy_17945","{The Lumineers|The Lumineers}","The Lumineers",,
"Title","1.0","Title-{MB_59253+WDC_35656}","MB_59253+WDC_35656","{Lost & Found|Lost & Found}","Lost & Found",,
"Title","1.0","Title-{MB_76705+WDC_9995}","MB_76705+WDC_9995","{Änglarnas jul|Änglarnas jul}","Änglarnas jul",,
"Title","1.0","Title-{WDC_25702+spy_9940}","WDC_25702+spy_9940","{Princesa|Princesa}","Princesa",,
"Title","1.0","Title-{MB_5017+spy_7578}","MB_5017+spy_7578","{St4y Up|St4y Up}","St4y Up",,
"Title","1.0","Title-{MB_37398+spy_19656}","MB_37398+spy_19656","{Bon Iver|Bon Iver}","Bon Iver",,
"Title","0.0","Title-{MB_53962+WDC_645}","MB_53962+WDC_645","{Revenue Retrievin’: Graveyard Shift|Revenue Retrievin': Graveyard Shift (Explicit)}","Revenue Retrievin': Graveyard Shift (Explicit)",,
"Title","1.0","Title-{MB_53577+WDC_38511}","MB_53577+WDC_38511","{Sarina Paris|Sarina Paris}","Sarina Paris",,
"Title","1.0","Title-{MB_52821+spy_119}","MB_52821+spy_119","{Le Bruit De Mon Âme|Le bruit de mon âme}","Le Bruit De Mon Âme",,
"Title","1.0","Title-{MB_23301+spy_12199}","MB_23301+spy_12199","{Carry the Weight / From the First Note|Carry the Weight / From the First Note}","Carry the Weight / From the First Note",,
"Title","1.0","Title-{MB_55670+WDC_12851+WDC_20256+WDC_34577+WDC_4177}","MB_55670+WDC_12851+WDC_20256+WDC_34577+WDC_4177","{Kaleidoscope World|Kaleidoscope World|Kaleidoscope World|Kaleidoscope World|Kaleidoscope World}","Kaleidoscope World",,
"Title","0.75","Title-{MB_24958+WDC_20119+WDC_35509+WDC_38912}","MB_24958+WDC_20119+WDC_35509+WDC_38912","{Be the Twilight|Be The Twilight (Explicit)|Be The Twilight (Explicit)|Be The Twilight (Explicit)}","Be The Twilight (Explicit)",,
"Title","0.0","Title-{MB_37949+WDC_38353}","MB_37949+WDC_38353","{Head Over Heels|Head Over Heels (Explicit)}","Head Over Heels (Explicit)",,
"Title","1.0","Title-{MB_79983+spy_5312}","MB_79983+spy_5312","{Punken|Punken}","Punken",,
"Title","1.0","Title-{MB_32265+WDC_28133+WDC_33999+WDC_36262+WDC_4607}","MB_32265+WDC_28133+WDC_33999+WDC_36262+WDC_4607","{Ligaya|Ligaya|Ligaya|Ligaya|Ligaya}","Ligaya",,
